,book_id,elo,original_title
1913,41811,1821.5079122349132,The Caves of Steel
358,16115612,1819.4576007235262,And The Mountains Echoed
9883,97390,1818.210427476282,???? ?? ??? 
1494,87640,1816.7889653412662,PostSecret: Extraordinary Confessions from Ordinary Lives
952,5091,1814.9328701197787,The Dark Tower
4971,414298,1814.7611981394862,Straight Man
2938,16729,1814.5252557492313,Beach Music
672,15796700,1814.2699699716397,Americanah
9934,37300,1813.866724301532,Broken Prey
1754,14554,1813.268079900784,If Tomorrow Comes
2113,2138727,1813.0014796224414,Mudbound
9860,714569,1812.6578183844265,A Countess Below Stairs
2127,77156,1810.0429709821851,Plainsong
3842,125963,1809.901616563606,Thr3e
897,43758,1809.375524451549,The Queen of the Damned
8281,29430788,1809.145455291602,
1914,17800,1809.07870425173,"??????????? [Dansu, dansu, dansu]"
1004,3711,1808.5607489454221,White Teeth
469,17851885,1808.4855569845026,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban
3242,333867,1807.7739822126737,The Stars My Destination
395,3367956,1807.454415223697,Hotel on the Corner of Bitter and Sweet
3962,85448,1807.1575277870663,The Great Santini
3592,248484,1806.5001438669815,Book of a Thousand Days
2102,92308,1804.6246617533434,
4924,2855034,1804.5227096096066,Nation
3256,23602562,1804.3849854602247,Our Souls at Night
797,7770,1803.619050260908,"One Fish, Two Fish, Red Fish, Blue Fish"
2874,31548,1803.32677065597,Of Human Bondage
337,6280118,1803.17997056848,One Day
2367,77398,1802.5377992348788,Gap Creek : The Story Of A Marriage (Oprah's Book Club)
6728,160251,1802.4531945276367,Ordinary People
1887,12609,1801.739471696263,"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures"
880,63697,1801.674548645632,The Man Who Mistook His Wife for a Hat and Other Clinical Tales
1430,7996,1801.5264811759241,Redwall
4221,200572,1801.270957347596,My Man Jeeves
5918,265205,1800.8492845238284,
5624,2845287,1798.2020683055912,The Wordy Shipmates
2839,27071490,1797.929106872273,Homegoing
3857,884288,1796.8216440149515,Interesting Times
2983,2986865,1796.5326781606204,The Two Pearls of Wisdom
338,32929,1796.5211362685563,
5753,17961,1796.092792380867,Cuentos completos
5011,6496815,1795.3989555609185,NurtureShock: New Thinking About Children
8142,425124,1793.991997489714,Sacred
1760,6346975,1793.685017487932,Moonwalking with Einstein: The Art and Science of Remembering Everything
1011,13508607,1792.1065537314296,The Secret Keeper
6159,326272,1790.7433304788126,Ansichten eines Clowns
7119,23168817,1790.4746356336689,????
6404,12021,1790.3929979014326,The Crow Road
2920,395090,1789.9133257520778,Ariel
4482,24814,1789.0387232323058,It's a Magical World: A Calvin and Hobbes Collection
1237,4952,1787.677818715352,What Is the What: The Autobiography of Valentino Achak Deng
8323,155712,1787.5479870627162,Mrs. Mike
2554,60931,1787.0045709889994,Kindred
5979,26085,1786.65876085505,Identity Crisis
8818,46201,1785.1612560310507,
5049,9545064,1783.8421484659928,The Story of Beautiful Girl
363,113946,1783.5186730028604,How the Grinch Stole Christmas!
1920,826584,1782.3041173739211,
2979,201114,1780.1135496019579,Sold
6979,17174,1777.7824325025983,A Yellow Raft in Blue Water: A Novel
9565,70487,1777.7484994979072,Attack of the Deranged Mutant Killer Monster Snow Goons: A Calvin and Hobbes Collection
8977,121792,1777.4597838811264,The Revenge of the Baby-Sat: A Calvin and Hobbes Collection
3490,20342617,1777.310366226063,Just Mercy: A Story of Justice and Redemption
2599,56759,1776.7800265603346,The Mayor of Casterbridge
573,33313,1776.0323632161505,Kitchen Confidential: Adventures in the Culinary Underbelly
2845,5344,1775.7895285760917,Hard Times: For These Times
365,2203,1775.7717441134785,John Adams
2589,13152194,1774.8630067240524,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar
4018,16982,1774.810867283701,Marvels
2466,201146,1773.5975410062867,Little Bear
493,29044,1773.581541400741,The Secret History
1655,38743,1772.8829720753172,All Things Bright and Beautiful
3919,4692,1772.4347754007838,The Physician
1999,3086160,1772.2905423656762,The Hour I First Believed
4639,11449,1772.1444169132158,Cathedral
657,3805,1770.672160792842,The Corrections
9604,139004,1770.2867565293498,Essays and Poems
7831,118389,1769.8185980249073,The Love Song of J. Alfred Prufrock and Other Poems
7253,24816,1769.4614457314135,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection
6919,24815,1769.0386222712161,The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury
3019,7723,1768.8454568411785,Die Verwandlung und andere Erzählungen
6589,59715,1768.3607345866687,The Authoritative Calvin and Hobbes
6360,70489,1767.6166107433191,There's Treasure Everywhere: A Calvin and Hobbes Collection
1643,227571,1767.3647090641507,Peace Like a River
779,77727,1766.7735479817845,Calvin and Hobbes
2031,106264,1766.36810670353,"Sarah, Plain and Tall"
9373,13152668,1765.695170668521,Dream Team
894,7815,1765.5790244120128,The Year of Magical Thinking
884,359770,1765.5293034694641,House of Sand and Fog
2974,4983,1765.148021760143,Kurt Vonnegut's Cat Cradle
9503,26228034,1765.125497111409,The Obelisk Gate
1671,10235,1764.2979535263914,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World"
5018,34072,1764.2913442199722,Jimmy Corrigan: The Smartest Kid on Earth
1167,48757,1764.0260764621926,The Tao of Pooh
3077,240130,1763.7772683436392,The Paper Bag Princess
1184,306654,1763.4360469750716,Cold Sassy Tree
8528,36064,1763.2886582407948,American Tabloid
1233,67920,1762.3500943104066,Sybil
3627,24812,1761.970785263593,The Complete Calvin and Hobbes
1326,77270,1761.2058570549573,The Jungle Book
5206,24818,1760.7610586893081,The Days Are Just Packed: A Calvin and Hobbes Collection
1271,8600,1760.2593893676374,"Eats, Shoots and Leaves"
3504,38462,1759.9723673960837,Giovanni's Room
4046,52397,1759.8816271241337,"Parable of the Sower (Earthseed, #1)"
7497,29923,1759.8612052378317,The Last Full Measure
4073,19288321,1758.961839929808,Fool's Assassin
7118,203288,1758.2931040193732,The Ship Who Sang
9606,81992,1757.9618924048937,Singularity Sky
5398,464260,1757.5195920106844,The Fire Next Time
7130,1432370,1755.9864947386138,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard"
2740,6690,1755.2640256169914,Danny: The Champion of the World
1123,22206,1754.5633415286777,Lullaby
615,14864,1754.4409840455678,Plain Truth
3829,53498,1754.3170156096355,Love That Dog
406,5826,1754.2899073625201,Bel Canto
9031,4099,1753.8394417778086,The Pragmatic Programmer: From Journeyman to Master
6211,16424,1753.3394513794221,Peril at End House
2474,41667,1752.3751256573087,My Side of the Mountain 
3691,9820,1752.255479098221,Crossing to Safety
3522,17143,1751.5329196132066,Go Tell It on the Mountain
2636,89724,1751.491955312326,We Have Always Lived in the Castle
2888,6604209,1750.5091050629017,Mistborn Trilogy Boxed Set
8273,29008738,1749.8591856290125,The Bird and the Sword
2760,169756,1749.6003329023338,Feed
2063,37186,1749.3995955539879,The Miraculous Journey of Edward Tulane
1977,14241,1749.194923702952,The Liars' Club: A Memoir
8073,21324,1748.9410502810008,"Fables, Volume 8: Wolves"
2681,12891107,1748.1487377268345,King of Thorns
2891,808853,1747.697300801108,The Complete Adventures of Curious George
7289,116114,1747.6706565430945,From Here to Eternity
2003,5306,1747.4645653934654,Travels with Charley: In Search of America
4267,880,1747.308689367869,Pompeii
1307,17927395,1746.839169860739,A Court of Mist and Fury
2512,10607,1745.234052103483,Black House 
5224,333907,1745.080606354,Fatal Vision
982,25489625,1744.7885319634877,Between the World and Me
2222,295961,1744.3146969964935,The Eagle Has Landed
7701,23252517,1744.097119670335,The Law of Moses
3787,40067,1743.518852082459,Thunderstruck
3241,758153,1743.3137465663801,Born Free: A Lioness of Two Worlds
6412,2924318,1742.470292631743,Home
2351,10596,1741.4524035567772,The Regulators
7643,12661,1741.2585317772596,Chesapeake
5669,21027,1741.0420076497078,Love's Executioner & Other Tales of Psychotherapy
1009,43070,1740.2738251663993,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury
3852,116020,1740.1982009503936,
1411,3754016,1738.3291828904378,Shadow's Edge
1673,9579634,1737.8718008255723,Prince of Thorns
8968,331701,1736.474671881615,Stone Soup
1247,59219,1735.3318005619412,The Talisman
872,78418,1734.5987704840536,The Reptile Room
7766,17490,1734.4790280989002,"The Faraway Tree Stories (The Enchanted Wood, The Faraway Tree, The Folk of the Faraway Tree)"
5939,19164,1733.965337126217,Purgatorio
774,341879,1733.844818669256,Just Kids
889,29580,1733.0116320073591,
8751,829313,1732.3288386462914,Miles: The Autobiography
3173,175983,1732.210704434781,Memories of Ice
1073,4982,1732.1214595894162,The Sirens of Titan
724,34084,1731.7418677849096,The Waste Lands
4328,7157310,1731.4025271649223,Rot & Ruin
8673,12019355,1730.7899952254465,Infamous
2361,85431,1730.626686421073,"Friday Night Lights: A Town, a Team, and a Dream"
567,59960,1729.9263324952717,Batman: The Dark Knight Returns
611,5094,1728.421283968343,The Drawing of the Three
2239,5517,1727.1972512952625,A Raisin in the Sun
8502,80890,1726.61098440878,Buddenbrooks: Verfall einer Familie
3361,47994,1726.3558690826562,The Last Continent
6917,8677937,1725.500662696925,Invincible (Chronicles of Nick #2)
2035,7015403,1724.835707011739,The Gifts of Imperfection
2325,24384,1724.6624835295372,
1094,213753,1724.4269009732516,Life As We Knew It
3081,25105,1724.398292885296,The Sandman: Brief Lives
8361,25852784,1723.9875200558004,Evicted: Poverty and Profit in the American City
4110,29430013,1723.862307142353,
388,68428,1723.3163100758377,Mistborn : The Final Empire
3754,114230,1723.2973651355026,"Bartleby, the Scrivener: A Story of Wall Street"
5871,9748274,1723.1666129530788,
5980,10866624,1722.0179364660319,Unspoken
2988,33810,1721.2887795903623,Plum Island
2816,105,1720.86444799407,Chapterhouse: Dune
1795,68210,1720.431839705636,Gilead
3050,193093,1720.333283910033,Stone Soup (Stories to Go!)
2635,10335318,1720.2527796452864,
2852,5126859,1720.1254548938248,The Girl Who Chased the Moon
3923,281433,1719.1340579610971,Ticktock
1105,17267,1719.0964300773564,The Great Divorce
8637,3545387,1718.5095063989277,Revenge of the Spellmans
1491,112204,1718.085167330364,The Complete Poems of Emily Dickinson
1211,16176440,1717.4786912501622,We Are All Completely Beside Ourselves
7432,82436,1717.3154981565806,Looking for Alibrandi
3601,6662883,1717.1164666450852,Oz: The Wonderful Wizard of Oz
2553,34511,1716.569036501848,Monstrous Regiment
5776,15888,1716.3912212184082,An Instance of the Fingerpost
2070,11925514,1716.2010579644998,Code Name Verity
5349,22465597,1715.1622635624549,Vanishing Girls
125,234225,1715.02303080182,Dune
1614,6480781,1714.7455089801135,Open: An Autobiography
5073,18667307,1714.7326338522141,???????????? 1
6835,129617,1714.5443056123258,Perfect
328,2318271,1714.5143851684645,The Last Lecture
1159,2052,1713.44463965474,The Big Sleep
1787,24813,1713.1514038600017,The Calvin and Hobbes Tenth Anniversary Book
7503,766917,1712.8242573358618,Homer Price
1379,15195,1712.7435648350552,The Complete Maus
618,11468377,1712.704858449781,"Thinking, Fast and Slow"
7356,5368,1712.3672841857808,Forever Amber
2949,96123,1711.2193826383846,All the President's Men
4829,8709528,1710.4596022468402,The Ruby Circle
4932,465904,1710.1954971247771,"Dragonsdawn (Pern: Dragonriders of Pern, #6)"
3792,8709524,1709.5985155501355,Silver Shadows
4423,6696602,1708.986139561449,inf
5631,47520,1708.023828422312,Castle in the Air
846,5161,1707.7663135119246,The Deep End of the Ocean
3032,586472,1707.3931673355692,The Right Stuff
5709,13125234,1706.7871570506786,Twice Tempted 
1726,357,1706.240094766762,The Long Dark Tea-Time of the Soul
9724,17950614,1705.871605115605,UnDivided
1844,58027,1705.5513276754143,Alias Grace
2687,8546358,1705.5062561227473,The Peach Keeper 
5662,25065629,1705.3471136908777,Hunger Makes Me a Modern Girl
9208,22504701,1704.516107109729,Roller Girl
1602,773951,1704.4685458535314,The Story of Ferdinand
1631,967494,1703.6063939257617,?????????: ?????????? ??????? ?????
913,21611,1702.7421885184178,The Forever War
8469,151926,1700.3936856524726,The Ghost Road
5922,47720,1699.3552580818837,The Sandman: Endless Nights
4439,40223,1698.5924228539561,Kushiel's Avatar
3801,922991,1698.0776092061844,The Island
1330,11192642,1698.0008382478813,Go the Fuck to Sleep
1337,323355,1697.891979776687,The Book of Mormon
7574,56616,1697.3643131261992,Double Indemnity
1286,147732,1697.3260394536492,Miss Nelson Is Missing!
7344,12125,1697.2119780610985,"Homecoming (Tillerman Family, #1)"
4963,2113260,1696.1973574337105,Shades of Grey
1836,17306293,1695.507096782877,Shift
6907,31268,1694.7624847771347,The Aquitaine Progression
8671,23208397,1694.5663839361796,Underground Airlines
1041,365,1693.5920558167727,Dirk Gently's Holistic Detective Agency
7217,11309018,1693.3929425549768,The Lost Stories
1709,7507825,1693.2925499690493,At Home: A Short History of Private Life
2996,9833184,1693.228147813417,The Fiery Heart
2769,4979,1693.0150526554623,A Man Without a Country
3921,122125,1692.0778367323458,How Do Dinosaurs Say Goodnight?
997,44186,1691.0418396476543,The Monster at the End of This Book
5869,736131,1690.905248078594,The Valley of Fear
8591,2152871,1690.4821027319372,Kushiel's Mercy
3924,573201,1690.15653737081,The Icarus Agenda
4867,481749,1689.9493904601043,Jesus the Christ: A Study of the Messiah and His Mission according to Holy Scriptures both Ancient and Modern
5453,430968,1689.6518281592298,Merle's Door: Lessons from a Freethinking Dog
4078,29,1689.045619566116,The Mother Tongue: English and How It Got That Way
8590,773514,1688.7459095640202,Emily Climbs
6628,29034,1688.7418045685192,Twelve Angry Men (Penguin Classics)
4061,426825,1688.4048907631704,QB VII
2815,9284655,1688.348638962724,Tiger's Curse
2840,7237456,1688.0953585220618,Packing for Mars: The Curious Science of Life in the Void 
2835,71865,1688.0341518904163,"Tomorrow, When the War Began"
364,5805,1687.918063324979,V for Vendetta
7985,40217,1687.7875878923348,Kushiel's Justice
970,766020,1687.1526597364377,
4873,21325,1687.0508268036067,"Fables, Volume 4: March of the Wooden Soldiers"
6794,71784,1686.8986319622181,Mitford Years New Song Unabridged
9397,41069,1686.8889530864833,Stand on Zanzibar
4068,161887,1686.5684177844303,East
8702,385255,1686.392647011963,"Random Family: Love, Drugs, Trouble, and Coming of Age in the Bronx"
3335,2295829,1685.5458893902694,Feast of Fools
571,46756,1684.9363491584484,Oryx and Crake
1696,11413,1684.6462324035176,
8837,2978,1684.4320126839839,Lost Horizon
3753,30016,1684.3195968105567,The Naked Sun
5742,41689,1684.3106254910665,The Key to Rebecca
4981,426625,1684.164985634124,Fancy Nancy
7123,47957,1683.3945703947527,Heir to the Shadows
7126,153007,1683.0990997663823,Kushiel's Scion
1889,8709526,1682.4674877490102,The Indigo Spell
1650,13188676,1682.0968119626066,"Ignite Me (Shatter Me, #3)"
3449,7948230,1681.7418050965568,"Crooked Letter, Crooked Letter"
3094,6339989,1681.5423592644909,Vampire Academy Collection
2261,153008,1681.3244976907413,Kushiel's Dart
9075,2350129,1680.8710051279013,Preach My Gospel (A Guide to Missionary Service)
5941,13586743,1680.7920991430276,One Last Thing Before I Go
7322,886512,1680.6322100026687,Jamberry
6901,596259,1680.5093453161667,Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes
7034,1126719,1679.1304617826843,House of Suns
965,425029,1678.2892482621244,Presumed Innocent
757,32145,1678.1633493752581,Stiff: The Curious Lives of Human Cadavers
734,96358,1678.0326807283811,Batman: The Killing Joke 
3468,38169,1677.8834266478382,"Alas, Babylon"
4112,138685,1677.3195816381062,Dissolution
2630,29394,1677.0252936193983,Cursor's Fury
6862,218659,1676.9149412152376,Everything that Rises Must Converge
9862,64394,1676.79758426528,The Stainless Steel Rat
1455,2146957,1676.5258378046083,Grip of the Shadow Plague
6311,6735082,1675.7910655138453,????? 1
3245,11289,1675.7707796162229,The Rise of Endymion
3965,4909,1675.5324836825419,Teacher Man
2484,11557,1675.0629647895037,Swan Song
1516,13281368,1674.8045259255919,The Twelve
1415,8709523,1674.6299946548231,The Golden Lily
3856,99894,1674.5104876171413,The Boys from Brazil
4748,49250,1674.236110972183,"D-Day June 6, 1944: The Climactic Battle of WWII"
277,30118,1673.6855731096039,A Light in the Attic
2639,216442,1673.4774928720503,Star Wars: Dark Force Rising
2976,216422,1673.298775371972,Star Wars: The Last Command
1471,20560137,1673.2254916165662,An Ember in the Ashes
5576,455764,1673.21822229574,Audrey Rose
3778,327255,1673.1022292231569,The Fourth Protocol
7220,23398806,1672.5855574387633,Eeny Meeny
1645,9534,1672.3422010038619,Shadow of the Hegemon
2552,10155,1672.2347938833677,The Lost World 
1944,344262,1671.693918466484,Bloodfever
8863,3762,1671.6287054895895,On Her Majesty's Secret Service
135,137791,1670.7401181319215,Divine Secrets of the Ya-Ya Sisterhood
5706,116257,1670.1151625674395,The System of the World
1730,6736971,1669.95416987921,The Desert Spear
10,77203,1669.793514284321,The Kite Runner 
1861,216443,1669.752594754377,Heir to the Empire
4864,92508,1669.6913132078505,The Bridge of San Luis Rey
7284,1474628,1669.4584916529864,The Monsters of Templeton
2311,234724,1669.2772035308749,Shadow Puppets
1686,53764,1669.0171258344665,The Great Dune Trilogy
1625,5217282,1668.7794767903492,"Fablehaven: Secrets of the Dragon Sanctuary (Fablehaven, #4)"
927,17675462,1668.3787255436714,The Raven Boys
2813,13618440,1668.295692574989,Dreams of Gods & Monsters
8260,348632,1668.103992004191,The Blood of Flowers
2776,13414676,1668.049247652225,The End of Your Life Bookclub
1697,342445,1667.2455066208424,The Dark Tower: The Gunslinger Born
2803,18039963,1667.0927497841158,A House in the Sky
3952,6792458,1666.5746483049504,The New Jim Crow: Mass Incarceration in the Age of Colorblindness
4274,24782,1665.470384375495,Taran Wanderer
2055,187065,1665.2916069233333,New Spring
1304,297249,1665.187207517523,The Boxcar Children
8108,23753,1665.1558078972978,"The Absolute Sandman, Volume One"
2788,31231,1664.6761049084519,The Matarese Circle
972,6398634,1664.6104638183429,The Happiness Project
758,8709527,1663.9652107563545,Bloodlines
7504,153782,1662.9673872802932,Shatterglass
994,11408650,1662.8710106361832,The Unbecoming of Mara Dyer
1700,9010,1662.6836586063578,I Hope They Serve Beer in Hell
2202,149572,1662.6833950691973,The Odessa File
5305,822,1662.4387036982291,The Confusion
2056,11600163,1662.286193043952,The Litigators
912,327847,1661.6412611837948,The Joy of Cooking
8434,71622,1661.4593507170632,The Widow of the South
960,19089,1660.580551267448,Middlemarch
5316,77504,1660.4763164365006,Blue Mars 
3999,5201089,1660.446851320153,The Kings of Clonmel
561,7235533,1660.3459971202913,The Way of Kings
2155,77507,1660.1526294505334,Red Mars
3415,6428887,1659.962008028113,Pirate Latitudes
602,2767793,1659.8080240183965,The Hero of Ages
1740,131359,1659.6140071094826,Death on the Nile
631,10429045,1659.5985441154626,"Shatter Me (Shatter Me, #1)"
957,3579,1659.415838801351,The Complete Anne of Green Gables Boxed Set
861,17332218,1659.4015346709384,Words of Radiance
7336,13589182,1658.9096477847495,Mastery
3914,910863,1658.6016742477216,Spin
8638,15811520,1658.3301412391488,
1438,12401556,1658.224907799977,The Age of Miracles
4343,16101018,1657.979547172482,The Day the Crayons Quit
7512,116343,1657.8898539803029,The Hollow Hills
4273,196764,1657.8492363240555,A Piece of Cake: A Memoir
6719,9674335,1657.622898222822,"Locke & Key, Vol. 4: Keys to the Kingdom"
3626,7592279,1657.6116752650562,
1630,608474,1657.4392409731531,The Sign of Four
969,17182126,1657.3026405456678,Steelheart
8294,3291,1657.2130662684358,Cuentos de Eva Luna
8064,27213163,1656.8321314508396,Another Brooklyn
8975,39664,1656.013043746237,The Shawshank Redemption
988,540020,1656.0055463670053,The Day of the Jackal
959,1166599,1655.8271081993155,The Gathering Storm
971,32829,1655.8091918937937,Voyage au centre de la Terre
2129,11966216,1655.160288482927,Torn
6826,13531832,1655.1171774241302,
2526,12177850,1654.8586580470958,A Song of Ice and Fire
542,6527740,1654.582983569901,Last Sacrifice 
4362,15957,1654.2576155366573,The Patron Saint of Liars
1911,18467802,1654.1305256315209,Euphoria
9174,99461,1654.0984610393377,"Split Infinity (Apprentice Adept, #1)"
9757,50091,1653.8701710443802,The Complete Robot
1460,194373,1653.8575490996739,The Memoirs of Sherlock Holmes
1985,5345,1653.3946003323692,The Innocent Man
383,2282133,1653.0625294269519,Frostbite
5781,76688,1652.3624182130234,Robots and Empire
900,4965,1652.2075948063332,Year of Wonders: A Novel of the Plague
393,2802316,1652.1642353478196,Shadow Kiss
447,56495,1651.7302529348408,The Purpose Driven Life: What on Earth am I Here For?
418,5996153,1651.5895882705313,Blood Promise
3087,31250,1651.587057701365,Little Dorrit
7538,1809175,1651.4277563957376,The Magic Thief
953,6202690,1651.2524841775937,Twilight Director's Notebook
3054,16791,1651.1657048225168,Death: the High Cost of Living
350,10025305,1650.6765884876595,Clockwork Prince
5921,15795628,1650.5012812494174,Blackmoore
6876,5849,1650.5008514121569,A House for Mr. Biswas
1659,9850443,1650.2799163954392,The Sisters Brothers
1707,20821087,1650.2333849672325,The Paying Guests
4180,77505,1650.2079589307164,Green Mars
616,6314763,1650.1514344157492,Orange Is the New Black: My Year in a Women's Prison
2956,121732,1650.1251042975575,Surprised by Joy: The Shape of My Early Life
459,18335634,1650.1243941977634,Clockwork Princess
4238,23168277,1650.1135497933863,The Sympathizer
3377,13413589,1649.8981505899815,Frost Burned
3312,2595138,1649.4878650357027,The Gargoyle
8908,10357792,1648.592964142465,Up From the Grave 
417,6479259,1648.5774993220534,Spirit Bound
7400,19534,1648.3216982663837,The Brothers K
9789,214579,1647.678923369764,The Story of B: An Adventure of the Mind and Spirit
5300,444381,1646.830807939993,The Princess and the Goblin
2977,13578175,1646.774014368278,The Emperor's Soul
2485,22522805,1646.470458881656,The Buried Giant
8921,289695,1646.3421406436194,Seeing Redd
6482,918789,1646.0289265814158,West Side Story
1407,711901,1645.936321505254,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10
3320,7805,1645.9354376814993,Pale Fire
209,345627,1645.8420394836135,
4148,1519,1645.4793099507547,????????
2293,7137327,1645.2579302849788,Enclave
7423,23602561,1645.118232351453,The Cartel
8433,23398961,1644.9596230882958,
182,7171637,1644.6525295769309,Clockwork Angel
710,764347,1644.3410904127227,Unwind
9539,581552,1644.0087478255139,In der Strafkolonie
8004,21457243,1643.214790537982,Vision in Silver 
3336,13545075,1642.893680540212,UnWholly
